Endereço;Bairro;Quartos;Vaga Estacionamento;Tipo;Valor Aluguel;Total (imposto,outros );Localização Real;Metros;Bairro Completo;Sufixo
Rua Açatunga;Vila Congonhas;3;2;Casa;R$ 3.180;3635;Rua Açatunga, São Paulo, Brasil;150;Vila Congonhas, Rua Açatunga;Vila Congonhas, Rua Açatunga, São Paulo, Brasil
Rua João Serrano;Sítio Do Morro;3;2;Casa;R$ 3.160;3404;Rua João Serrano, São Paulo, Brasil;180;Sítio Do Morro, Rua João Serrano;Sítio Do Morro, Rua João Serrano, São Paulo, Brasil
Rua Paschoal Garófalo;Vila Califórnia(Zona Sul);3;2;Casa;R$ 3.155;3302;Rua Paschoal Garófalo, São Paulo, Brasil;204;Vila Califórnia(Zona Sul), Rua Paschoal Garófalo;Vila Califórnia(Zona Sul), Rua Paschoal Garófalo, São Paulo, Brasil
Avenida Professor Vicente Rao;Santo Amaro;3;2;Casa;R$ 3.150;3584;Avenida Professor Vicente Rao, São Paulo, Brasil;160;Santo Amaro, Avenida Professor Vicente Rao;Santo Amaro, Avenida Professor Vicente Rao, São Paulo, Brasil
Rua Doutor Getúlio Vargas Barbosa;Jardim Toscana;3;2;Casa;R$ 3.100;3390;Rua Doutor Getúlio Vargas Barbosa, São Paulo, Brasil;150;Jardim Toscana, Rua Doutor Getúlio Vargas Barbosa;Jardim Toscana, Rua Doutor Getúlio Vargas Barbosa, São Paulo, Brasil
Rua Irineu Correia da Silva;Jardim Satelite;3;2;Casa;R$ 3.100;3317;Rua Irineu Correia da Silva, São Paulo, Brasil;161;Jardim Satelite, Rua Irineu Correia da Silva;Jardim Satelite, Rua Irineu Correia da Silva, São Paulo, Brasil
Rua Isabel Maria Garcia Parra;Lauzane Paulista;3;2;Casa;R$ 3.100;3232;Rua Isabel Maria Garcia Parra, São Paulo, Brasil;200;Lauzane Paulista, Rua Isabel Maria Garcia Parra;Lauzane Paulista, Rua Isabel Maria Garcia Parra, São Paulo, Brasil
Avenida Alexandre Grandisoli;Parque Continental Ii;3;2;Casa;R$ 3.100;3220;Avenida Alexandre Grandisoli, São Paulo, Brasil;70;Parque Continental Ii, Avenida Alexandre Grandisoli;Parque Continental Ii, Avenida Alexandre Grandisoli, São Paulo, Brasil
Rua Professor Guilherme Belfort Sabino;Campininha;3;2;Casa;R$ 3.040;3578;Rua Professor Guilherme Belfort Sabino, São Paulo, Brasil;239;Campininha, Rua Professor Guilherme Belfort Sabino;Campininha, Rua Professor Guilherme Belfort Sabino, São Paulo, Brasil
Rua José Buono;Jaçanã;3;2;Casa;R$ 3.010;3137;Rua José Buono, São Paulo, Brasil;150;Jaçanã, Rua José Buono;Jaçanã, Rua José Buono, São Paulo, Brasil
Rua Alexandre Rider;Jardim Raposo Tavares;3;2;Casa;R$ 3.000;3311;Rua Alexandre Rider, São Paulo, Brasil;130;Jardim Raposo Tavares, Rua Alexandre Rider;Jardim Raposo Tavares, Rua Alexandre Rider, São Paulo, Brasil
Rua Soldado Abílio Fernandes dos Santos;Vila Zamataro;3;2;Casa;R$ 3.000;3307;Rua Soldado Abílio Fernandes dos Santos, São Paulo, Brasil;170;Vila Zamataro, Rua Soldado Abílio Fernandes dos Santos;Vila Zamataro, Rua Soldado Abílio Fernandes dos Santos, São Paulo, Brasil
Rua Ângelo Mendes de Almeida;Parque Jabaquara;3;2;Casa;R$ 3.000;3301;Rua Ângelo Mendes de Almeida, São Paulo, Brasil;166;Parque Jabaquara, Rua Ângelo Mendes de Almeida;Parque Jabaquara, Rua Ângelo Mendes de Almeida, São Paulo, Brasil
